timestamp,price,date,coin,market_cap,volume,network_difficulty,hashrate_ths,hardware,power_consumption_w,electricity_cost_per_kwh,pool_fee,hardware_age_months,daily_revenue_usd,daily_power_cost_usd,monthly_profit_usd,break_even_days
1750118400000,106951.2720181497,2025-06-17 00:00:00,bitcoin,2127895470544.7178,32095957011.724205,114700367356194.23,126,Whatsminer M50,3276,0.06118717511574464,0.023020580985216258,15.59491312234319,14.43148439327051,4.810780456300306,171.95445144243948,488.5014566088067
1750204800000,104683.42479835715,2025-06-18 00:00:00,bitcoin,2080968120976.949,38603212010.889435,119992501605629.16,234,Antminer S21 Pro,3540,0.06578511406975834,0.012658012890388518,2.482418756651601,25.342016935404388,5.589103291366669,384.2540759877982,390.3667114379892
1750291200000,104722.695052907,2025-06-19 00:00:00,bitcoin,2081677732261.6853,30339326410.154945,113118777058625.72,110,Antminer S19 Pro,3250,0.05378486368427753,0.016618358581336336,9.648653205317778,12.590842433559153,4.195219367373648,147.7020253188985,507.77908994863145
1750377600000,104690.65002458123,2025-06-20 00:00:00,bitcoin,2081355279873.408,18063282658.152298,118008434285959.98,126,Whatsminer M50,3276,0.048479964483611984,0.027946758821912165,17.494540802523773,13.661215571543655,3.8116887275595084,178.81913865285776,469.74837611241105
1750464000000,103290.105144757,2025-06-21 00:00:00,bitcoin,2054120245608.2085,30632751225.407444,116207986853391.22,126,Whatsminer M50,3276,0.07347357278030009,0.03206989342717569,18.715701216241634,13.629225712901277,5.776786186278314,118.90651913202225,706.4372972413275
1750550400000,101532.5683847329,2025-06-22 00:00:00,bitcoin,2017415966695.5278,21644463198.719532,110440914316484.84,234,Antminer S21 Pro,3540,0.05416803804608466,0.03995042534178849,2.8372469349861262,25.966821612511538,4.602116512395353,432.6078196701522,346.7343704382634
1750636800000,100852.58264648831,2025-06-23 00:00:00,bitcoin,2005179769771.7349,51287142390.02526,103941902635762.81,110,Antminer S19 Pro,3250,0.05587154984075251,0.03799339994030673,0.0007372522891779809,12.909249580055981,4.357980887578695,152.3713941076519,492.2183749727443
1750723200000,105511.62437933135,2025-06-24 00:00:00,bitcoin,2097741233586.5918,50011797128.6837,111580881459798.05,110,Antminer S19 Pro,3250,0.08910804571271014,0.029276955986055744,17.09128910113452,12.694992378274906,6.950427565591391,68.17027771383877,1100.186217735985
1750809600000,105976.06929808448,2025-06-25 00:00:00,bitcoin,2107110352429.8032,31704641076.941063,120758616951159.45,126,Whatsminer M50,3276,0.11716835985299029,0.02263744159882216,8.558308223668934,13.587821039300113,9.212245125081507,14.600610759891506,5753.183985340637
1750896000000,107238.53045016268,2025-06-26 00:00:00,bitcoin,2132141147369.0017,30468274982.034847,118754567884202.8,140,Antminer S19 XP,3010,0.08432734805034375,0.02908532094124698,6.107551958838246,15.43275748663967,6.091807623156832,121.89516257115176,935.2298942417567
1750982400000,106984.01253775663,2025-06-27 00:00:00,bitcoin,2127292099754.93,24320699663.15122,111985092147604.64,126,Whatsminer M50,3276,0.03692815203584696,0.03356954854240696,0.30953927494861055,14.626274514487735,2.9034390256664313,235.01839799797241,357.4188264219412
1751068800000,107078.91560644074,2025-06-28 00:00:00,bitcoin,2129020567385.9595,25194306261.888832,112520886478911.95,126,Whatsminer M50,3276,0.03680252524686602,0.01355008572770162,12.967185762275992,14.871346833736979,2.893561745009594,242.66688599515487,346.1535332912178
1751155200000,107331.58548463577,2025-06-29 00:00:00,bitcoin,2134239999929.6584,8960877693.57604,105788622385035.3,126,Whatsminer M50,3276,0.11562808987610093,0.02229714669088865,20.42761765022356,15.714476194968656,9.091142938418558,82.03333102983623,1023.9740230644597
1751241600000,108396.61631317894,2025-06-30 00:00:00,bitcoin,2155183166489.813,14881078675.366829,122552207554224.81,126,Whatsminer M50,3276,0.05675617112766002,0.035194068569068516,22.98315951054211,13.518826530241915,4.462397198741141,155.02621327835658,541.8438483637229
1751328000000,107132.79910701896,2025-07-01 00:00:00,bitcoin,2130471589191.581,22489515582.41552,118707650390413.23,234,Antminer S21 Pro,3540,0.03828602874742279,0.02151498855799132,13.577878814718941,25.98051026817395,3.2527810023810404,473.498544640454,316.79083641936194
1751414400000,105613.39974163055,2025-07-02 00:00:00,bitcoin,2100087563077.9324,25033160828.30909,112325777346149.53,110,Antminer S19 Pro,3250,0.08391401284353434,0.027156168136815595,12.34707186575746,12.650546974256214,6.545293001795678,78.99095250714939,949.4758275412848
1751500800000,108824.44423167943,2025-07-03 00:00:00,bitcoin,2163835371770.0977,36395184773.06136,116687708955599.98,234,Antminer S21 Pro,3540,0.08612839004612395,0.027633080825865946,2.0413532517417865,26.6797205399289,7.317468018318691,372.53424231497297,402.64755010943907
1751587200000,109602.20483914016,2025-07-04 00:00:00,bitcoin,2179664531219.9346,29892049537.628605,105480841558631.4,234,Antminer S21 Pro,3540,0.08836543381068193,0.015534287594009181,13.172947237022395,30.09511835381774,7.507527256555537,469.2943995845327,319.62878767101273
1751673600000,108040.8919400104,2025-07-05 00:00:00,bitcoin,2148601712907.3433,24248906784.57383,112600504136461.6,234,Antminer S21 Pro,3540,0.05406618250717871,0.020867063249568652,9.11949789516947,27.64007657133846,4.5934628658099035,483.06507783252346,310.51716814852085
1751760000000,108217.46849992426,2025-07-06 00:00:00,bitcoin,2152344091389.654,10042942280.966904,121853451954257.55,126,Whatsminer M50,3276,0.03135996157930275,0.020035338662257964,14.571246741205847,13.787146558064167,2.465645619211099,222.97836149892538,376.71816868384707
1751846400000,109215.19771840284,2025-07-07 00:00:00,bitcoin,2171497503296.0474,14638669497.351297,120920401648986.1,140,Antminer S19 XP,3010,0.11685138325090247,0.010785901255961945,9.32943234903712,15.726632091569668,8.441343926045194,60.2253116324009,1892.8918242187822
1751932800000,108300.71675785031,2025-07-08 00:00:00,bitcoin,2153777588647.4504,25493246475.80407,116904100083528.25,110,Antminer S19 Pro,3250,0.05258037411219922,0.010725752916740657,5.767178962808802,12.67490973445932,4.101269180751539,153.04254994456673,490.05979073901744
1752019200000,108953.19187727802,2025-07-09 00:00:00,bitcoin,2167049398056.7417,20488865138.27645,115720735271223.67,140,Antminer S19 XP,3010,0.09084236592472927,0.034950911310273204,2.279166605481036,15.99337471374086,6.562452514402442,124.5943326468192,914.9693856714143
1752105600000,111327.53054245669,2025-07-10 00:00:00,bitcoin,2215210888568.426,37078460440.66385,121754969267195.56,234,Antminer S21 Pro,3540,0.09359668828908385,0.018192124299184372,7.5580426701334975,26.41144410041766,7.951974637040565,345.4507505679795,434.2152962567735
1752192000000,115879.65030112496,2025-07-11 00:00:00,bitcoin,2303292356999.7437,56204086624.04028,120159449718182.02,234,Antminer S21 Pro,3540,0.08490066753715371,0.025542362987164464,2.3194760229060547,27.64788820691901,7.213160713956579,404.70849145553956,370.6371454192201
1752278400000,117571.02510036016,2025-07-12 00:00:00,bitcoin,2338612196961.7437,64185145923.88688,114652388269325.1,140,Antminer S19 XP,3010,0.05816166547922834,0.018961767207663193,4.245526819775614,17.707818676552854,4.201598714219455,246.85326553666866,461.8128091283684
1752364800000,117418.95745007684,2025-07-13 00:00:00,bitcoin,2335485977830.673,24351256098.393543,122818135510028.02,140,Antminer S19 XP,3010,0.05439866283876592,0.03822037735346021,23.696067805909102,16.18501944561627,3.9297594034724495,209.32446793098126,544.6090518074946
1752451200000,119117.55666327637,2025-07-14 00:00:00,bitcoin,2369050366835.5605,27310851454.97692,126280227188158.2,140,Antminer S19 XP,3010,0.08379014544324327,0.01777890276597321,10.658485365758846,16.30840974456801,6.053000106819893,149.32895579911016,763.415235778936
1752537600000,119833.67446712355,2025-07-15 00:00:00,bitcoin,2383825813673.847,68915956378.80447,130474783813259.72,234,Antminer S21 Pro,3540,0.10794860702505223,0.02288970438216805,12.764922396120397,26.4025355316201,9.171313652848438,308.6033230298165,486.060871047417
1752624000000,117678.19493404306,2025-07-16 00:00:00,bitcoin,2341223394839.9204,80299520980.2335,115859183642555.89,234,Antminer S21 Pro,3540,0.11520603560310559,0.03618190751453806,20.96684468969317,28.80118551117486,9.787904784839853,362.065088456717,414.29015053444385
1752710400000,118748.1627367753,2025-07-17 00:00:00,bitcoin,2363194640209.576,50374263848.76278,123342245747888.81,110,Antminer S19 Pro,3250,0.039531522396338184,0.03525800700375426,23.893653611776507,12.845553253738016,3.083458746914378,188.69616853804246,397.4643501300318
1752796800000,119445.36520434043,2025-07-18 00:00:00,bitcoin,2376237382764.3013,49282617205.72662,124161286063174.75,110,Antminer S19 Pro,3250,0.043934575133794784,0.015583042535388319,13.985146784272356,13.09751095038298,3.4268968604359933,185.95175603174292,403.3304207527737
1752883200000,117988.94664455787,2025-07-19 00:00:00,bitcoin,2347165317624.536,58896449260.69391,117817862679562.66,234,Antminer S21 Pro,3540,0.11502626329047716,0.03407929929387131,19.49937170506012,28.45911650139602,9.77263132915894,352.26122183377913,425.8203591617025
1752969600000,117901.62655900871,2025-07-20 00:00:00,bitcoin,2345398337785.541,23934511126.349533,125689721840457.05,140,Antminer S19 XP,3010,0.09628817055013132,0.02374560660213678,7.846584584080206,16.11925505140873,6.955857440541486,116.56859499268393,977.9649485108306
1753056000000,117256.9208222684,2025-07-21 00:00:00,bitcoin,2333757287859.664,36702153882.06748,126450940843282.66,140,Antminer S19 XP,3010,0.10946944423467957,0.024489066162560656,7.3378549787349865,15.92247208269836,7.908072651513251,82.0986496022199,1388.5733876543266
1753142400000,117482.46977767294,2025-07-22 00:00:00,bitcoin,2337365497467.1313,46344384345.39471,121448596607905.56,110,Antminer S19 Pro,3250,0.04823693707218088,0.014004399172478314,9.664889303869444,13.191133882779909,3.7624810916301086,178.69291706782735,419.71445332403346
1753228800000,119955.79570607653,2025-07-23 00:00:00,bitcoin,2387516761560.4927,58939000420.94166,135238626131504.48,234,Antminer S21 Pro,3540,0.08288272839984616,0.012418045412713739,16.14017430416758,25.77171900372839,7.04171660485093,353.5667386329904,424.24805166897534
1753315200000,118629.05588130427,2025-07-24 00:00:00,bitcoin,2359931875300.5244,45225685167.61703,122260746530085.27,110,Antminer S19 Pro,3250,0.09310256349757262,0.031838179209212954,16.37260054212237,12.992076432118044,7.2619999528106645,67.7356277125547,1107.2459580395807
1753401600000,118354.43517438594,2025-07-25 00:00:00,bitcoin,2354764508342.9937,51940414419.3327,121395278625201.62,110,Antminer S19 Pro,3250,0.09121006969022753,0.024893834570658992,7.5657464315868195,13.148046370722886,7.114385435837748,76.84316137988748,976.0139829388917
1753488000000,117540.80837085741,2025-07-26 00:00:00,bitcoin,2338855554998.7812,91617702596.10347,120572316902538.17,126,Whatsminer M50,3276,0.06673365217800283,0.023105521078455385,3.1970381792790885,15.086662177346035,5.2468666688432934,178.52719858841562,470.5165412563117
