annual_spend,frequency,recency,cluster,customer_type
2198.685661204493,48.61735698828815,6.295377076201385,1,⭐ Regular Customers (Medium Value)
2609.21194256321,47.658466252766644,4.531726086101639,1,⭐ Regular Customers (Medium Value)
2631.685126202957,57.67434729152909,4.061051228130096,1,⭐ Regular Customers (Medium Value)
2217.0240174343858,45.365823071875376,4.068540492859486,1,⭐ Regular Customers (Medium Value)
2096.7849086264137,30.86719755342202,1.5501643349739345,1,⭐ Regular Customers (Medium Value)
1775.084988303611,39.87168879665576,5.628494665190548,1,⭐ Regular Customers (Medium Value)
1636.7903697915156,35.87696298664709,7.931297537843108,1,⭐ Regular Customers (Medium Value)
1909.6894798053856,50.67528204687924,2.1505036275730864,1,⭐ Regular Customers (Medium Value)
1782.246910189927,51.10922589709866,2.6980128451553944,1,⭐ Regular Customers (Medium Value)
2150.279207338269,43.99361310081195,4.416612500413446,1,⭐ Regular Customers (Medium Value)
1759.3173551082411,68.52278184508938,4.973005550524132,1,⭐ Regular Customers (Medium Value)
1576.91562841764,58.225449121031886,2.5583127000579555,1,⭐ Regular Customers (Medium Value)
2083.5454380019023,30.403298761202244,2.343627902203139,1,⭐ Regular Customers (Medium Value)
2078.7444943476494,57.38466579995411,5.342736562379941,1,⭐ Regular Customers (Medium Value)
1953.7406870447037,46.98896304410711,2.0429560192651453,1,⭐ Regular Customers (Medium Value)
1712.0623166421165,45.393612290402125,7.114244452437831,1,⭐ Regular Customers (Medium Value)
2137.4473158273845,32.36959844637266,5.64816793878959,1,⭐ Regular Customers (Medium Value)
1845.9670878334734,43.23077999694041,6.2233525776817356,1,⭐ Regular Customers (Medium Value)
2412.39980899838,59.31280119116199,3.3215649535547227,1,⭐ Regular Customers (Medium Value)
1876.3150496595142,53.31263431403564,6.951090254244718,1,⭐ Regular Customers (Medium Value)
1808.330304861884,48.14341023336183,2.7873300519879436,1,⭐ Regular Customers (Medium Value)
1521.5173503677318,58.125258223941984,7.712480057141645,1,⭐ Regular Customers (Medium Value)
1971.1959513678664,60.03532897892024,5.723272050095268,1,⭐ Regular Customers (Medium Value)
1741.9520981579503,53.61395605508414,8.076073132931938,1,⭐ Regular Customers (Medium Value)
1985.6695843560194,65.64643655814007,-0.23949020817948874,1,⭐ Regular Customers (Medium Value)
2328.7610017500897,50.870470682381715,4.401985299068265,1,⭐ Regular Customers (Medium Value)
2036.704310614201,30.124310853991073,4.560656224324976,1,⭐ Regular Customers (Medium Value)
2142.8450286046987,64.77894044741517,3.9634595634527052,1,⭐ Regular Customers (Medium Value)
1676.6025588427249,44.982429564154636,6.830804235404148,1,⭐ Regular Customers (Medium Value)
2131.500443863874,44.70239796232961,6.026534866226712,1,⭐ Regular Customers (Medium Value)
2038.8310197392161,59.68644990532889,3.5958938122452953,1,⭐ Regular Customers (Medium Value)
1868.9351413608927,46.078918468678424,2.072970103735763,1,⭐ Regular Customers (Medium Value)
2118.4481108258306,52.610552721798896,5.010226913284922,1,⭐ Regular Customers (Medium Value)
1906.1651466499413,35.84629257949586,4.158709354469282,1,⭐ Regular Customers (Medium Value)
1862.9141933892922,41.97722730778381,4.677428576667982,1,⭐ Regular Customers (Medium Value)
2161.620342725815,68.8618590121053,5.349155625663678,1,⭐ Regular Customers (Medium Value)
2103.0201562891057,49.25554084233833,1.162457569401917,1,⭐ Regular Customers (Medium Value)
1989.3944498203132,50.60230209941027,9.926484224970572,1,⭐ Regular Customers (Medium Value)
1923.055614087551,53.015473423336125,4.9305764605895135,1,⭐ Regular Customers (Medium Value)
1532.5287849521872,61.42822814515021,6.503866065373549,1,⭐ Regular Customers (Medium Value)
2316.4127788172186,40.906125452052606,7.805588621872198,1,⭐ Regular Customers (Medium Value)
1439.2595748830877,55.868570938002705,9.380911251619956,1,⭐ Regular Customers (Medium Value)
1603.7854699477248,44.33702270397228,5.199302730175282,1,⭐ Regular Customers (Medium Value)
1798.6097383535202,34.493365689338674,5.137125949612055,1,⭐ Regular Customers (Medium Value)
1575.078514509558,54.73592430635182,3.1611515315323935,1,⭐ Regular Customers (Medium Value)
2619.973762007016,42.16746707663763,4.355876967588649,1,⭐ Regular Customers (Medium Value)
